time_rel_TR,network_1_mean,network_1_sem,network_2_mean,network_2_sem,network_3_mean,network_3_sem,network_4_mean,network_4_sem,network_5_mean,network_5_sem,network_6_mean,network_6_sem,network_7_mean,network_7_sem
-5,0.13062975194344387,0.032370362428491464,0.07089163061459196,0.03329230504174525,0.05467352873461621,0.031126804823174523,0.04932545839079993,0.033867618793431344,0.0531996594781778,0.03357093754986529,0.0639560857991083,0.0319435615455326,0.06025166834928769,0.03264478383263434
-4,0.14062582784945138,0.03203427544163389,0.06338983456774754,0.03223521452789705,0.03955105859474115,0.030462430309829907,0.05005486257566097,0.0331369645195394,0.03355818503369475,0.032907546717201606,0.05092512992273324,0.031529543587668865,0.031988343259540086,0.03177724429509623
-3,0.1369096125918122,0.03187820157254318,0.06069417489894631,0.03182286861951873,0.04074783164208559,0.029771995629267325,0.054836099036851466,0.03248020021889885,0.00874075120910048,0.03263028664311552,0.04168078521868047,0.031070049354305733,0.017188808252437134,0.03128521181787793
-2,0.10231098853255563,0.03159576070867988,0.04331245461816845,0.031244753248570272,0.04253925719295377,0.029216787707451446,0.04411794027669603,0.03162807763913407,-0.0011846943210023573,0.032114103087374384,0.041951180054549946,0.030520984318010116,0.014993021435830513,0.030811877271283233
-1,0.07243617039211082,0.031157648839206513,0.02926917531204003,0.030656313069019323,0.04186504493029899,0.02850692395250861,0.043591713946756885,0.03047830557398064,-0.017041220347571263,0.03047304340679818,0.04122495488543122,0.02931056723337766,0.011902732289713398,0.029446103329043145
0,0.044343289255101836,0.030749920161530605,0.02661912511247227,0.03019857834726516,0.03711610107135288,0.028088223140659552,0.04106517709109244,0.03013116634787686,-0.013775687253140887,0.029957440194463652,0.036467060514202725,0.029378521750882097,0.01367686343201031,0.029368781551950666
1,0.015535157254603185,0.03059396137643979,0.029164872479046523,0.029622352927923975,0.036882267907053415,0.027819630661539207,0.03814306233972281,0.02960742353684733,-0.0145859139027357,0.029727645402540116,0.034898283757203795,0.029580180431030625,0.016364819338252904,0.02943580071960306
2,0.0023205118065271844,0.03059813878400052,0.05484355204070722,0.029569678252370828,0.055925066496395906,0.027688294606087523,0.05477841956533242,0.029231533992329493,-0.0043385636846666395,0.02987598473624792,0.04293257097455785,0.029430280405066,0.030439614766448766,0.029417306810021988
3,0.01951120325556455,0.031214973109928535,0.07687719439289427,0.03046115210974161,0.07406653675214718,0.028466603663776728,0.06018440515248479,0.0296709520161728,0.014095425975955504,0.029711933343588168,0.04770584213636152,0.02976305269434996,0.03505491190153303,0.03022728855966911
4,0.039025435898540274,0.032015573985820334,0.0908849642757292,0.03124881575222294,0.07343625606717694,0.029554988183149864,0.05967729943927011,0.030090043498004357,0.025565135514592843,0.030259925068482463,0.03510313701087977,0.0304050161166676,0.02613936383538104,0.031255833238150114
5,0.021476205553508744,0.03263104865387919,0.07486825105575297,0.03173702368595626,0.028507189746966484,0.030191788668895936,0.027571103395304213,0.030882251732356838,0.018510885253764844,0.030962483783355952,-0.013929461768569264,0.031159647508532264,-0.007373734500336964,0.03188733240003107
6,-0.00033522586839174217,0.03302477778438597,0.05893219867256428,0.03236413229934904,-0.017138955507000796,0.030967722949375633,0.009121675099526756,0.03149982087903282,0.01336692640450488,0.031053702761138727,-0.05157389303405117,0.031449002634928315,-0.041984806523817815,0.03193830007591646
7,-0.015984436099001142,0.03289675423558927,0.03513505105982675,0.032218769613504825,-0.04148235468575121,0.03137129996739788,-0.004017620110588791,0.03179276706474082,-0.006637563436242664,0.031121580891231248,-0.05209628948500259,0.031243687724257986,-0.06073187475099794,0.03177627509785537
8,-0.012297094725213087,0.0321553733407327,0.021499648843032824,0.03240890778789158,-0.043339054583880626,0.031628377961003366,-0.007569009268547276,0.032216639285177345,0.0004928421551221947,0.031041295729268458,-0.026036157662724792,0.031356083716845035,-0.04948079266740331,0.0317662110478647
9,-0.026221043019795876,0.03153437847400046,0.0012450129334058819,0.031895578502254836,-0.05629162541143073,0.030990911501966804,-0.014980709398197204,0.03186370603177019,0.005184615768448377,0.0311953750399206,-0.0030240827127886584,0.030865919305770873,-0.02806359946860289,0.03111240921901819
10,-0.027393226981962927,0.030602166784575672,0.007898918995889155,0.030984963860660984,-0.05043051959067298,0.030299202918062755,-0.0008406895791871188,0.03130180816266849,0.01557663765491334,0.03080753103255323,0.019607097241696365,0.030159702872117857,0.006041432733140427,0.030261053679249954
11,-0.016757318412073858,0.02990146307796056,0.030458769602894776,0.030126942493800487,-0.02590585113965323,0.02985242448235882,0.022810983234072355,0.030805031796808165,0.04496257317685346,0.030798321824843006,0.03745211225624943,0.029717409521543347,0.04184095893336814,0.029797356223388107
12,-0.01607357863170305,0.02904489465320451,0.030975681300077555,0.02920595305526051,8.756829630012274e-05,0.029209464744405538,0.025845608000283272,0.030182542371265324,0.028286253891358592,0.030548170973121982,0.045271464136303466,0.02918311617838859,0.05772413614902599,0.029326229118774423
13,-0.01265911690504944,0.02885452298782605,0.02849719993476538,0.029294997742154827,0.010015610363018885,0.029195604968442705,0.023658994046612557,0.030117879423367525,0.02106290026319943,0.030865227375603193,0.04503814321990035,0.02925528222908807,0.068539247477927,0.02915024615713965
14,-0.019350144733966602,0.028972824351759793,-0.0057270275195969314,0.029089251608271954,0.005179785328846869,0.029423706634417714,-0.007001599183774728,0.02983731227838678,0.005461263589544754,0.03092771275314573,0.027557575388663026,0.029162340686599314,0.05043517062672583,0.028931454413707668
