TR,Net1,Net2,Net3,Net4,Net5,Net6,Net7
0,0.18103811733779757,0.024510766349778855,0.0522680807042584,0.005225446727076272,0.2598661630958174,0.11653623467010121,0.20363711866236162
1,-0.5581835861984,-0.6496021765039808,-0.7420151438536565,-0.4758582341214264,-0.2269681633311664,-1.5228722693745995,-1.1124814539317227
2,-0.19925303438292274,-0.4328709641069273,-0.2360638261593576,0.2274649069596908,-0.7849333807000923,-1.3269082704802264,-0.8013685693756823
3,-0.5770426818483018,-1.3521861303381792,-0.4018963929225412,-0.8969900244821156,-0.5406045305465224,-1.8747427680912003,-1.0210083121254114
4,-2.149107652146455,-2.2952778892255346,-1.3053061335707528,-1.871851260444266,-0.8075050951749148,-2.0690284534483103,-1.8358898985231975
5,-1.6723830603639707,-2.334067744945106,-1.4839769746039977,-1.9146840649102772,-1.132760709196621,-1.7257802971094212,-1.7899251980607984
6,-0.20647495715759873,-2.3586970467373574,-1.2939654886434295,-1.9869354140733206,-1.5393477604642647,-1.7815859525398257,-1.6734043564560919
7,0.31557459015995526,-0.804073293340919,-0.7869493193430863,-0.7095071350458494,-0.6165704950895753,-0.3666869956877595,-0.3933217230151556
8,1.0999188998298988,0.2749260370675917,0.8466504441671544,0.7844643150665174,0.5246356939980445,1.1362512502205953,1.2839045928082873
9,1.0488158333945736,0.1586017154562168,0.20391862084920875,-0.12790268300719582,1.2520994454098149,0.6124179284438083,1.7017960149193163
10,0.734866921255733,-0.5429287149462876,-1.0618793546102296,-1.20676834909727,0.48112996876684566,-0.5402183515500665,0.8181742205706974
11,0.7980528362488325,-0.23169697628869712,-0.4298278354949085,-0.2660763979122372,0.12093654732891997,-0.2976899881712056,0.32034406462141246
12,1.140347237288745,0.13254919588607464,0.35018206599012525,-0.010815990183076114,0.4685397423354286,0.7082737874229194,1.0947884953213105
13,1.1812218202639326,-0.1187895381119508,0.8703239231339162,-0.12656321215165822,0.20325044818027843,0.653670630359521,1.1335643790650658
14,0.9220144401316684,0.5873683551583676,0.842434062155225,1.1624944116763165,-0.0055767891630471664,1.330114413364522,1.5536915444818151
15,0.22714121747232427,0.6556339918244336,0.6810015425418143,0.6718164151332723,-0.18746814382206034,0.7235246280932262,1.1797968418367388
16,0.43494840664907986,0.7851205442990477,0.28350609720312314,-0.13734596531105447,-0.39492095066981947,-0.24243062001929594,0.6718043265579189
17,-0.8695114082879238,-0.4373055718809199,-0.6241016705146719,-1.1258860108799125,-0.46775953898324163,-0.5752032460930533,-0.15934245881289888
18,1.2868561359053117,2.2798273319435314,1.2445143012869126,1.7036036108001145,-0.032878763585808435,0.8954839922230179,0.7291119630580988
19,0.4966017493216395,2.2936468995998713,1.1048856959135795,1.5729162878899337,-1.117938273122574,0.32697271343123724,-0.3734013668101355
20,-0.15966201348306938,1.249417615223367,1.1673671374559764,1.0486279833199472,-1.1807826661964087,-0.07639298901870818,-0.8883420403693669
21,-4.78793498507921,-1.3404994403298938,-1.1729618999659237,-0.44457038061349147,-3.57566191179727,-1.0825463762916812,-2.6311103266731126
22,-1.4634345288651887,0.12463601037327415,0.11573397635052371,-0.9355254781867958,-2.0496588598067063,-1.8602795792155202,-3.281370490675095
23,-2.440192144000086,-0.7279486054349457,-0.8981378662188453,-0.9280389553089278,-2.4547941934226176,-2.4521998746858844,-3.5628443258853544
24,-1.891879015935307,-1.6009229241196308,-1.3825893646438685,-0.8848374232881815,-1.5929202366824544,-1.2190057845758273,-2.075651033925056
25,-1.1611082877131735,-1.6604545480197224,-1.5367362321845075,-1.4493272512589987,-1.166849833869571,-0.9126456715918172,-1.4361243799505579
26,-0.8421622328674006,-0.8843859656760842,-1.042909120081041,-0.38084665569960446,-0.29249348562791005,-0.1017910147984763,-0.49575901665850197
27,-1.0291818514090836,-0.875753511068117,-0.8427014046937995,-0.2424051201424511,-0.04077063196375153,0.19011135831440515,-0.1082507751960549
28,-0.2215114367195151,0.1823713826664996,-0.4101445557218535,0.511766069930761,0.5505039682716967,0.7229042062311563,0.7254205358723771
29,0.23425544527478354,0.5680929426946716,0.007585931218920912,-0.011679743603827637,0.9301993692197242,0.5757308044084737,0.8646273927062763
30,0.5271793869703078,0.3392258452963379,-0.020554969826096982,0.5418183432162288,1.015449870114583,0.24294138989389383,0.9926691795880432
31,-0.08747948782421044,-0.365529285798766,-0.15317279963112257,-0.006464120271573764,0.6181426446618257,-0.4116124925237928,0.2611036785657611
32,-0.13032672043820354,-0.11940737194420628,-0.24688063437007365,-0.208613126552495,-0.09085827366515319,-0.7100094539796767,-0.24384125063172418
33,-0.3736334697488773,-0.3734284394023976,-0.24406336277916377,0.07043211011323636,0.7990359690584355,0.036830727842149004,0.1146110878821446
34,0.30374224461327215,0.12571561405820306,-0.010052002283311889,-0.318338116535802,1.100338612666413,-0.0748698443329163,0.3694116230577985
35,2.1043281530464517,2.7968114612408286,1.6426900890825016,2.3482820176355546,2.2741683670890414,1.904495810435789,2.3756401144081214
36,3.5850796316287736,3.042853669113135,2.6966702093723325,3.1306267098885066,2.1688222231980374,3.187572207576351,3.291508008024146
37,2.2498792913381096,0.7465957505777973,1.5973248146230903,1.4595029998177407,1.7558682242347707,2.702647978197166,2.0987436584499704
38,0.23735750463078653,-0.29832268088721103,0.6426308014943113,0.03567469849905643,-0.16654307874840624,0.9307252879749963,0.5482408526808703
39,-0.9025924401967418,-0.8083767323641465,0.22743208880030594,-0.7857556562592974,-0.2223503794723687,-0.15994077576491555,-0.4630990865147855
40,-0.9313355744279922,-0.9417991800666733,-0.11201363154210056,-1.0088219002927878,0.01780285849364655,-0.8961172484929745,-1.1560621615190685
41,-0.7966250575779779,-1.0317754970401383,-0.27680766827832,-0.6439784457870207,-0.5267446630515232,-1.026272471890018,-1.0533029627227104
42,-0.2196699385021926,-0.30759075867719327,-0.5147947206994345,-0.6592016419091764,-0.23778191657698336,-1.0210323367959855,-0.25829996964250834
43,-0.17428552579858794,-0.7927992133719384,-1.1761274361900529,-0.9150827465717797,0.48400144581415255,-1.338332714821414,-0.428211821196104
44,-0.46944883374233065,-1.0146682457947234,-1.4846364874554316,-0.9147547125255583,0.19229003040484027,-1.1270041216439735,-0.7544323498821102
45,-0.047343347796185396,0.01900835538928697,-0.7302089553297586,-0.03304824427654403,0.2674317435842337,-0.01927028541981233,0.22900775386383734
46,0.7105430714634051,0.5204305830449399,-0.07227524926507792,0.35989605170314803,1.1207334958090156,0.39955065115555716,0.8407169893323813
47,0.9884477258048288,0.50862733906952,-0.48092892198748116,0.242315502611215,0.9043908721682467,0.11481280172519533,0.7289179232288414
48,0.6392892169129669,0.14135711995737024,-0.4582583222313249,-0.6478399689446731,0.1950130180308321,-0.272883779498569,0.13835713605470062
49,0.17478623064752635,-0.10641384876683421,-0.518473606008763,-0.2752351825411526,0.3186259091688478,-0.2753279457972989,0.08916626972171578
50,0.12853840277137635,-0.27639356579323093,-0.00861475558923721,-0.31320295109095664,0.22828235512374748,-0.0965352197147171,0.35056181617425985
51,1.0533140103516692,0.40591018786273375,0.6659623206631217,0.5175578756028454,0.8120770911179838,0.9685869270803751,1.287582944950039
52,0.9846763247816571,0.7089695930999925,0.537000723657012,0.3941310575505094,0.811653749255815,1.9465710259943818,1.6544956168151101
53,0.38432109720360386,0.4387290476130334,-0.08525810033815286,-0.2898382204372047,0.37479544887187116,0.9686922389991806,0.5447193989908643
54,-0.570993664140003,-0.06250480760321998,-0.6884512070199434,-0.5493209914714169,-0.810530024724363,-0.5480306830069609,-0.9067085583216424
55,-1.0317758809919995,-0.7349502396327849,-0.6524501749752474,-0.6577571899959148,-1.288600431342225,-1.4695796241867614,-1.6871057648287107
56,-0.9774407898800673,-0.26008103399550453,-0.34695231470708626,-0.017850313457628626,-1.0925731212178373,-1.1868881752388887,-1.436625732776468
57,-1.0923694297618034,-0.5234639509974276,-0.45501558265323555,-0.7725951106287462,-0.990552108523412,-1.1426823772940429,-1.398720330329387
58,-0.4960917341520467,-0.010967369710938264,-0.20282786602022665,-0.3813245862912539,-0.22774402999049498,-0.7745740168447508,-0.8205339862942884
59,-0.5457079626159081,0.0984677769619452,0.34524613661751846,-0.21128969929543845,-0.24053785403196173,-0.10589461201991615,-0.6717962286876817
60,-0.021064572929111305,-0.15476084163511797,0.8698602070071002,-0.12256724739719133,-0.20492389091959856,0.14070851431069495,-0.630035136283617
61,0.734013139390774,0.6246030741242817,1.7872093733913503,1.1879989915814673,0.8778526584507277,1.3504079150414272,0.36920237212712803
62,0.854659594672082,0.3142254456259664,2.4736484171514466,1.015314682512117,0.3968752513426329,1.6710048190995723,0.4835951986156696
63,0.5209085446179421,0.7084824869822323,2.300833822331111,0.6662636685348297,1.1295273824743222,1.3365265750800208,0.5149144359330278
64,0.40499240135437836,0.3074123821740342,1.1296125708798452,0.08012206407742888,0.012615817540348458,0.10269254157835343,0.030456554548176994
65,0.5181996347002554,1.4171214463709467,0.6306204302407199,1.516371782913011,0.6568982631143448,0.7280739348739991,0.5737327845245686
66,0.8851253576796908,0.7367785434008091,0.4050104380691713,1.0230490855531693,0.36766387329906636,0.5917304483105604,0.5867113953838982
67,1.1078767495233184,0.5844668543255706,-0.059762684345543694,1.4190037587157134,0.24442839440729308,0.7657284530302406,0.8910153409443083
68,0.3156424770994743,-1.0775492418449069,-1.1933928317849365,-0.9267566022304203,-0.6182313014948522,-0.6166961215538352,0.09263443065141076
69,0.1546536321586183,-0.5399941854516624,-1.4745464967240307,-0.39485225493531445,-0.23639384724054785,-0.43591124577012214,0.4098153368481647
70,-0.02749161595676958,-0.6781111912033625,-1.0024857514396366,-0.2913905788765581,-0.3233681482648275,-0.44246766758330885,0.02156597351100777
71,-0.46014302887686764,-0.31643895590498605,-0.5335267221852176,0.20262581009063257,-0.09199333968166963,0.6432600348810236,0.6379929835414914
72,-0.8608107103581724,-0.7288455215049037,-0.887368717201685,-1.1268185595853266,-0.7706358386850111,0.2138461619717336,0.5517800565797042
73,-0.7581005383576138,-1.23005410196909,-1.0397520419259023,-1.2220208413857192,-0.6481038942384975,-0.8166251495707454,-0.1888816162270254
74,-1.1610705697401886,-1.46331249077645,-1.092959752325532,-1.2388770417087966,-1.5520244303792976,-0.9798288810233413,-0.8849587050140648
75,-1.0026969303230877,-0.4875657908597421,-0.6476716150931086,-0.659132644703886,-1.7580523596646846,-0.6446515506162604,-1.079871928158028
76,-1.0385734545934056,-0.9595366956938187,-0.5806350033402454,-0.6890455218806337,-1.2487517221849727,-0.7556635562113528,-1.245690009972121
77,-1.4244984121436994,-0.8280194427207082,-0.4146400568326014,-0.14259121043287004,-1.4204718661982054,-0.3443737460347729,-1.3298859923436046
78,-1.3308322924714213,-0.7939390632721081,-0.3333422871000838,-0.2199623432925814,-0.9129200021295478,-0.5158342610331976,-1.3200497492548398
79,-0.4284454797917807,0.4041988365034014,-0.20550014436349012,0.4203801501403718,-0.6577003258585695,-0.40675601082153806,-0.4177247973006149
80,-0.3419881980487225,0.06087349781354956,-0.3053005617394744,-0.7339105547287382,-0.24443778817781808,-0.5074962673857766,-0.3623730941876088
81,0.1886797297086679,0.37419791751893233,0.08587801916017034,0.30086036656324444,0.5116573554401579,-0.034086895561376895,0.18938633699014565
82,0.4628869190574317,0.9172169999179488,0.8880953617422189,0.6811496691986204,0.023455672223135163,0.1713266534766055,0.3196941988298031
83,0.9430911294547344,1.153683496041872,1.9329338266766818,1.3801068612436338,0.49301477829851087,0.9121490097569924,0.6025481858809574
84,0.6001498144263605,0.585835341138919,1.7982715993129843,1.1695402369064347,0.3307295846687224,1.4540207242473397,0.3690221430717427
85,0.1192977631612264,0.34616111466222105,0.8859652093420695,1.0136618165541733,0.3032157656823504,0.7884713930240997,-0.13272661085334556
86,0.6797636088147675,1.405880055245641,1.027048479966962,1.9149641629675083,0.32045189031545185,1.0344375027516741,0.22093973512379417
87,0.41838412673341674,0.8732026397065645,0.7801756963648618,0.7852084881041115,0.7443261277336846,0.2019618685479639,0.24271204096178717
88,0.3146414346912172,0.7503259540352507,0.2690837969992189,0.33542124120376937,0.8708258595772086,-0.1034114871036793,0.44522268194689074
89,0.6984768248928546,0.5199154634992107,-0.05440696308838625,-0.2085425466639904,0.6788099779290628,-1.1390893125643422,0.30282612332338715
90,0.8985268579312583,0.4898360037523935,-0.3450534287118142,-0.24319242289653695,0.8873114221147506,-0.617130353896738,0.5902951107042282
91,1.2825510526325055,-0.3064193024457335,-0.5212527187805097,-0.6128333975060392,0.6226390727598147,-0.832359158971979,0.28976323803918086
92,0.35221188255513086,-0.9575514234587084,-0.8643990414093469,-1.4352985835461973,-0.018725336950403154,-0.8422845408942675,-0.19672830036702296
93,0.3667357085209499,-0.4753063160335154,-0.44534394621262174,-0.04442408524065895,0.7810704587302724,0.0863673992852274,0.8264920990147997
94,1.5830083126851144,2.7150420518819414,1.8541995240679978,2.8748207498509224,2.0126171628396508,2.7899265848585904,2.683070102994081
95,1.8096855484894774,2.5450295648439716,2.3199483197340918,2.5643046373547853,1.8844031722396914,2.893262931667212,2.59822248266103
96,0.27724558910126124,0.02217137688931145,0.1365517751392495,-0.4245894257393848,1.088472659127703,1.0824045375972382,1.279386094363195
97,-0.6741771396280116,-0.410477106023558,-1.1037090578387159,-1.3926053629706747,0.2491843796154909,-0.2597858850365284,0.6549226968913265
98,-1.447003729713992,-1.5654225995651336,-2.105699546337054,-2.1332522949091617,-0.018521909322518845,-1.423459097257793,-0.5488485638312256
99,-1.568837123614753,-0.6701334131355597,-1.6850323594851573,-1.1561330711796454,-0.6432907214694835,-0.994949958437229,-0.6734832749672547
100,-2.04737421941142,-1.8352431727332805,-2.1135064638311887,-2.364996884522496,-1.739959974185563,-1.7967947895414091,-1.7260048148435134
101,-1.503229921254848,-0.9852382408896214,-1.8379440801719296,-1.0607708728111662,-0.9770266783702587,-1.624503625943042,-1.3594869468555968
102,-1.5410352694798033,-1.4630304511280794,-1.288600086803909,-1.921678221840262,-1.5152554733259669,-1.439692500698011,-1.866394733865503
