TR,Net1,Net2,Net3,Net4,Net5,Net6,Net7
0,0.11204553244516499,0.0883938505407425,0.08931871902299204,0.048837422268274776,-0.013148358931783889,-0.04138951502088464,-0.059131299918102724
1,-0.017605657034701593,-0.2975388018006393,-1.3514126108122422,-0.9598441675861141,-2.333043551663979,-1.6072062147404937,-1.0655294930643102
2,-1.0741313622437305,-1.6316867053856343,-2.7412733809030416,-1.5817593264495249,-1.7321769786872345,-0.5455673339135673,-0.6844708853361032
3,-1.437718541457697,-1.6094302111001086,-2.3897135573001154,-1.5162644059367856,-0.6696457524372597,-0.5149876266661522,-0.6556326196983139
4,-0.6580971281882557,-0.4918696561236423,-1.0798260003374474,-0.34203581673672345,-0.13787708799118392,0.45665543420457727,-0.3247036225307389
5,-0.2021306557442124,-0.39919890030017446,-1.0278543806252618,-0.7787820160270678,-0.507930076236716,-0.01166955195574596,-0.8268017382346753
6,-0.03978506901547778,-0.18866547663192362,-1.573611225134752,-0.3266657598526257,-0.36542464408059144,-0.06735029898084795,-0.6250235356442196
7,-0.5676155020207397,-1.518568795500182,-1.622900605256655,-1.488016441856208,-0.1140225975413157,-0.4163075159582523,-0.8058179467333134
8,-1.2181963189228162,-0.6566665579672609,-0.7826745122325275,-0.6415962314558422,-1.5106945424017693,0.12002033757103721,0.26814934603651175
9,-1.5948015188729825,0.3351860278697415,-0.35906067860581103,1.3372771237980507,0.6444738929957737,1.428630812248258,1.8327031939983327
10,-1.979452180964514,-0.21781135728323492,-0.4900716519632502,1.0598139501252468,0.5694398863576348,1.1619937528091153,1.513547435565298
11,-1.7266664506526777,-0.8467029013455414,-0.9402804083858675,0.638262084103372,0.6334964654323993,0.07384464144930777,0.6788685937858486
12,-1.619029908965953,-1.7599890472135726,-0.9672058069139158,-0.5532547025291886,-0.40130174524538403,-0.18312397350562576,-0.039821537236209535
13,-1.0219488919965147,-0.8375519406619234,0.07735390125462742,-0.06523288398464555,-0.9539167672203589,0.09806514993371289,-0.08977250765933614
14,-0.6598978653511559,-0.33541957341990647,0.4637593465887787,1.2141569609274743,0.5918526205871371,1.0704757383895496,0.21984260542164474
15,-1.2515769403330426,-0.7066437316168279,0.47232412668253426,0.7559555694813701,-0.219346261483323,-0.29869833635294296,-0.3618156766092382
16,-1.4832167396621223,-1.327305648010197,0.019173935149457418,-0.022877746716628438,0.270805709402424,-0.06644847997252004,0.09158222854942658
17,-0.8377735197260304,-0.6649140522154183,0.09047308130928233,-0.45985375515836047,-1.1231325804832255,0.25634646230136826,0.7054550461505321
18,-0.1142086204853329,0.10818042045209242,0.267845451465085,-0.15730360376443953,-0.27943034652898174,0.08615931796078063,0.3716955716542803
19,-0.16148367113387696,0.6323448696510812,0.03751538193891104,0.35769429318716245,0.3984499861533853,0.35020423041587384,0.6124420942083364
20,-0.10462496039852029,-0.5089838402572417,0.3895067001901939,-0.41521505525116,0.11507588517564281,0.45295838075450173,-0.19537688704030054
21,-0.04876028525781419,-0.6448099617519271,0.10773994406311974,-0.4646139612658411,-0.8658740154828913,0.21811340132184254,-0.22425860643449932
22,0.2750675750951588,0.21016663615269235,0.29974863994765877,0.3163132370898523,-0.11404423121547262,0.32784500993136906,0.07504297920231492
23,0.4819689447963744,0.314989676650138,-0.12587145843987152,-0.175958745698073,0.8829754029764737,-0.1035095410293919,0.08567115980935669
24,-0.29335131389219615,-0.39731691278944187,0.11636835672765158,-1.0427093655826025,-0.07142446579734567,-0.7393554745924559,-1.307855297126015
25,-0.1587837918469654,0.14153510874646083,-0.19136988906664923,-0.5225687113805285,-0.8050657410818882,-0.7526237156238287,-0.9995024941960332
26,-0.1616766871484833,0.4059103378496888,-0.44345355676720155,-0.2791757021234682,-0.10363730021802905,-0.28178884215341093,0.15741728101703356
27,0.09810635741680242,0.6360638508484469,-0.5635011393347359,0.47664317559340397,0.7416556975375767,-0.2772508452132095,0.44726141510094986
28,0.26366117839563863,0.0883867822352862,-0.2824673660635881,-0.26364662515745063,0.30903099485412855,-0.8632587890243265,-0.2115685777661635
29,0.2878927302438308,0.6496216615469356,0.11115553460077272,-1.0725619354322151,-0.8020786973592252,-0.5674322424949645,0.30906548348906754
30,0.716008982324617,0.6556514372280594,-0.08430690303982916,-0.8976598197322055,0.23694482098743047,-0.24008094240467345,0.8105131785128238
31,0.9102621386540471,0.2858569484537365,-0.41520306579053345,-0.5534772356101055,0.9142354886594213,-0.1489208154973355,1.3247574799273896
32,0.658357062708241,0.15045043937821964,-0.5512788884502858,-0.9745267252559294,0.4002905980144548,-0.22979639750574082,1.0902000128434914
33,0.260277821825833,0.5070419988397142,-0.0969220955557006,0.11108048209552293,-0.6217096983589426,0.5615646566645448,0.8810873340087412
34,0.4667993055747076,0.5799661571925839,-0.14511173049101467,0.4016257043296849,-0.01555525770490308,0.515426342427059,-0.13455179029036202
35,0.49484104759229863,0.20022660405027082,-0.8448098037793071,0.34213541292604865,0.4030519375714417,0.17323388477540522,-0.48268636050336183
36,0.09723149826399814,-0.6571074734943069,-0.6044034255655921,-0.543759889357828,0.800528515480743,-0.31363704905957457,-0.9852670535180397
37,-0.19915211922896783,-0.6295992902829373,-0.35595278619509546,-0.7526099991148625,-1.104487287129625,-0.8874744013722152,-1.4655527056394628
38,1.4447675118444732,0.3247617359953308,0.5045413579250768,0.2477958649549273,-0.41634295537129967,-0.9750305967082988,-0.9487028300923905
39,1.9291841933980747,0.9748067921032618,0.82727779264494,0.7682703018241956,0.2111420098086018,-0.5804802902739856,-0.3163084033183414
40,1.7993230612243392,1.2548645017960356,0.9501358795852601,1.048255331139686,1.0125500860531034,0.19751083663602795,0.09684046134829602
41,0.9814208921989092,0.3209336535927278,0.9309196281511156,-0.2290187416219021,0.5682182737935823,0.3026032351633411,-0.11417876914803611
42,0.6787572878177237,0.7550315517476284,0.49450660427948406,0.3509052712794902,-0.3242596432200178,0.05968135890483439,-0.19679798716389577
43,0.5746528922540557,1.1927668998064622,-0.10178458667720879,0.35576301696843726,0.36320613853408895,-0.31320737750589883,-0.1401144236519359
44,-0.06759411726389604,0.6696654490428369,-0.5037601831414902,-0.0824258536891306,0.7112644932254146,-0.8912111506246049,-0.3325543738116544
45,-0.7143789475377499,-0.3108470684193533,-0.24127531365614838,0.32612060238716056,0.5717512517661715,-0.5164573760321647,-1.054751445459453
46,0.17836430275290302,-0.1699488370113535,0.5160678174214031,0.5825955025544007,-1.0701665287602908,-0.03283629996088639,-0.8718684162283664
47,1.1804155833839263,-0.6199028876605494,0.7113597474724351,0.13697242668339862,-0.5885678990968527,0.009647050437227748,-1.0519887232294591
48,1.2435264799096095,0.04528271895900279,0.9340981939787875,0.3696011441518619,-0.3715888534533771,0.39837370494019747,-0.7475751804116404
49,1.5563780056078258,0.39031134786162863,1.0416391112449899,1.0305655613402276,0.6429390476504684,0.6429646266772017,-0.07012480041807823
50,0.8460660414610705,-0.6334431645055278,0.5591245690102382,-0.3164266410001779,0.38276432519515086,0.47793659665304505,0.04890102224210552
51,0.3846934564966821,-0.17160673397223236,0.2714694505552554,0.13759198492588193,-0.40120968754989605,0.7252505137057232,0.6701942063187465
52,-0.21770268006788387,0.13929645712039496,0.3929557483153975,0.8765471613541402,0.4306595684225621,0.9413330608971819,1.1456130943087621
53,-0.2737300176629888,-0.31868162788759535,0.3136704916176554,0.8679333268702017,1.317344699977108,1.3350356675436628,1.5538702832095237
54,-1.2825692985055641,-1.3757682647603189,0.36532270017555013,0.04440401262670357,0.5479007996485631,1.217907639799463,0.9060606331602021
55,-1.2671435724362765,-0.847466226160811,1.3961089987894075,1.156330018324184,-0.6149014298661212,1.1104454904947503,0.7023829718309001
56,-0.4239644351237661,0.12636852685972397,2.10002150792662,1.7581149379706043,0.3864464319887899,0.6214018682801871,0.6995987678940642
57,-0.933898570484715,0.26888088310704583,1.0195391739347097,0.21311007057714207,0.7262027117466551,-0.17649579468998097,0.2815681405458451
58,-1.798775260134468,0.4426347116415735,0.4344151650051751,-0.35670997377088104,-2.1469234027348527,-0.8651534102786821,-0.6292195949950886
59,-0.2970488347605664,2.475635614872886,0.8826480449219242,1.0964780248653376,0.19995318991117877,0.310266371911422,0.7068739966512843
60,-1.4470779471017676,0.10304925716370887,-0.43124492266635833,-1.3495499340754586,-1.1558939830615969,-0.4813926177336288,-0.549458096680116
61,-0.7740383540299155,-0.06809481493948348,-0.9398588245443104,-0.9836779259990465,-0.331519059727424,-1.1349483642185565,-0.9670378323482991
62,-0.4952360673698875,-0.4513996305915117,-1.5715909390286078,-0.7692533775305154,0.31407041663392377,-0.9481687941190283,-0.9626832520770717
63,-1.0564940932595666,-0.8873138539068073,-1.1788251015576645,-1.352400652352387,-1.0193223233138637,-0.6697897907521533,-0.15252650321209363
64,-0.9100051065323874,-0.5357148158733037,-0.8194743910145778,-0.7115992057101522,-0.2176390616505187,-0.9783741620979024,-0.05737623393260777
65,-0.5619369549154939,-0.4020608698694898,-1.0342889979038423,-0.6358887002827985,0.36638945259529415,-1.034483919515554,-0.3790764183735085
66,-0.43855972717763797,-0.4220491464706771,-0.8463696857717428,-0.4695380951745906,-1.172885329841876,-0.3614757027247337,-0.12637185535253284
67,1.0838252604729401,0.4972643638391511,-0.2558973705870767,0.5995334003698336,0.6495678761136716,-0.14104698809476612,0.7568610680570825
68,0.5696672124617621,-0.28292230320050404,-0.6385040623156895,-1.0499228426617098,0.3244361856782127,-0.2867494951599852,0.06441973758928857
69,-0.47882823916859824,0.19525150451980072,-0.20929955472910283,-0.8477543335626802,-0.955386796974385,0.5759700214795075,0.6300683521519516
