TR,Net1,Net2,Net3,Net4,Net5,Net6,Net7
0,-0.019436511345365875,-0.021029487871545335,-0.017308333562010565,-0.0059912809419491835,-0.05618264186973715,0.0010479385166191413,-0.025769855644280314
1,0.39853661367178106,0.3036279997449459,0.0841726966346796,0.36585695895762443,0.3615401011131683,-0.5556492519932299,-0.7439699581585091
2,-0.6161689451105824,-0.6485083863245358,-1.3567590037139006,-0.46263429845197934,0.9331020557050403,-1.7730945368943827,-1.9685664662691642
3,-1.6504695450504014,-2.5554189174589035,-2.306651784365814,-2.4252409602116387,-1.2585200313458815,-2.1165102531783346,-2.2899119896337883
4,-1.7658152966215428,-2.20011156894327,-2.384568356496382,-2.0307255992288944,-1.5442978996902892,-1.5358365906926128,-1.531687891982957
5,-0.9234788234161339,-1.1852783511584657,-1.5988255522447246,-0.9960365578559635,-0.7164145323694302,-0.8111290673271762,-0.7568563374417522
6,-0.31043883932039157,-0.6436994451699817,-0.44104281760053476,-0.49446259649509583,-0.23945899247406224,0.0537807576062991,-0.22684088267982278
7,-0.21550358359691082,-0.308596201444396,-0.006283655326195834,-0.30895488318571934,-0.791335960412333,0.6985508684969843,0.1996291523450036
8,0.6349883794379464,0.5484553088194807,0.2159827028884872,0.6582183596470595,0.12815358594657897,0.6860501768207179,0.7516406598788418
9,0.9611943970137834,0.8981582098175289,0.10336211813155723,0.8587390003785134,0.8465767995195533,0.45812674016567495,1.0242750204396018
10,0.531967242803379,0.3584025283951736,0.28003507925664345,0.20703504840594175,0.872812508807003,0.6240265390578745,0.8928058447197798
11,0.6016705975826051,0.052812780886022294,-0.15657668198953237,-0.28499440240209456,-1.182732360289351,0.03399754394148386,0.2947199804629454
12,0.3529761154304474,-0.021958177615391365,-0.4864106355339493,-0.44797218870287886,-0.7484594799335665,-0.4171702172064826,0.010924056136710941
13,-0.40343971892187985,0.14833074981362926,-0.6325278851185889,-0.30091737810202857,-0.08887157037910053,-0.5957237069333766,0.06790853717526213
14,-0.6372650819715098,-0.37225722138716366,-0.5011240835280126,-0.8681961968293779,-0.45143586500343086,-0.5650977107407652,0.044141538994351026
15,-0.6851083045458694,-0.129402642509287,-0.42458820174736334,-0.6477782095597372,-1.6978549762863637,-0.5429466212078463,0.018322454577979014
16,-0.7607836770072196,-0.4041082982281871,-0.6426863922787991,-0.8677220041905418,-1.661306200528866,-0.6679472944794852,-0.3015422079224784
17,-0.4318312429512825,0.09565922847117513,-0.25386081171555414,-0.04813832495938712,-0.29673691347235326,-0.0804619167044469,-0.06820982735870479
18,0.26450643059296497,-0.13543172013536284,0.10188022748093574,-0.34077485017992465,0.15598194352392736,-0.4824236141713906,-0.39475245214332294
19,0.04238395615003938,0.050987884020468846,-0.5282832417184504,-0.16564504787998344,0.8590867442678584,-1.3884916946485268,-1.0420684823228032
20,-1.103165728053728,-0.5546694612755454,-1.5350995513298726,-0.5878956553688741,0.22245385562005085,-2.1783347182282156,-1.7030312178264155
21,-1.1505958543937356,-0.5116736742720105,-1.3799709057995648,-0.6017562723758181,0.3034856816732299,-1.564095826341464,-1.298456375746633
22,-0.6454953220978621,-0.6577366041088021,-0.886373588227773,-0.7095878539995025,0.434387460846788,-0.9720550159967998,-1.0597838391118182
